account_id,customer_id,branch_id,country,currency,account_type,account_status,iban,opening_balance,current_balance,interest_rate,overdraft_limit,opened_date
ACC00000001,CUS00000001,BR000021,United Kingdom,United Kingdom,Current,Active,UN99NGB1692288147042122,24605,45395.72,0.45,1244,2025-11-27
ACC00000002,CUS00000002,BR000010,Singapore,Singapore,Business,Active,SI99NGB2217814802492423,341287,146960.83,0.9,95986,2020-04-21
ACC00000003,CUS00000002,BR000010,Singapore,Singapore,Savings,Active,SI99NGB4369121605726839,5910,4452.46,2.15,0,2026-05-02
ACC00000004,CUS00000002,BR000010,Singapore,Singapore,Savings,Active,SI99NGB5585733317168417,7888,6263.71,3.1,0,2017-08-28
ACC00000005,CUS00000003,BR000029,Australia,Australia,Savings,Active,AU99NGB6078526580384745,17729,31668.38,3.67,0,2017-12-05
ACC00000006,CUS00000004,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB4238743426281129,13264,19149.6,2.13,0,2020-06-07
ACC00000007,CUS00000004,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB5150961351696769,7332,13828.94,4.52,0,2022-12-11
ACC00000008,CUS00000005,BR000028,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB3738024514456235,9242,10451.79,0.19,9970,2020-01-28
ACC00000009,CUS00000006,BR000041,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB7119561368788145,25266,11299.14,0.23,5654,2026-01-22
ACC00000010,CUS00000007,BR000049,Singapore,Singapore,Savings,Active,SI99NGB1350489722145319,11091,14734.2,4.3,0,2021-12-11
ACC00000011,CUS00000007,BR000049,Singapore,Singapore,Savings,Active,SI99NGB8107796634391677,11086,15108.37,3.19,0,2017-03-05
ACC00000012,CUS00000008,BR000038,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB1551765936506444,11735,8959.91,0.14,1190,2025-07-06
ACC00000013,CUS00000008,BR000038,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB6077393740035304,2599,3725.61,4.6,0,2020-04-03
ACC00000014,CUS00000009,BR000013,Australia,Australia,Current,Active,AU99NGB7861451110829606,49430,95199.16,0.19,4467,2023-09-06
ACC00000015,CUS00000010,BR000050,Canada,Canada,Current,Dormant,CA99NGB5932225139975372,20740,44957.69,0.07,1309,2025-12-13
ACC00000016,CUS00000011,BR000012,United States,United States,Savings,Active,UN99NGB9753671270221794,5232,4129.81,3.66,0,2019-04-11
ACC00000017,CUS00000012,BR000029,Australia,Australia,Savings,Active,AU99NGB3353110127793609,4812,7433.71,4.79,0,2023-10-18
ACC00000018,CUS00000012,BR000029,Australia,Australia,Current,Active,AU99NGB7971548529986573,11236,7948.99,0.12,2935,2022-08-08
ACC00000019,CUS00000013,BR000004,United States,United States,Savings,Dormant,UN99NGB5905076726057409,3662,2721.7,3.34,0,2023-12-22
ACC00000020,CUS00000013,BR000004,United States,United States,Current,Active,UN99NGB5398286325649762,11558,10131.31,0.12,1505,2020-03-28
ACC00000021,CUS00000014,BR000026,Australia,Australia,Current,Dormant,AU99NGB6730539140533863,16291,16358.95,0.38,5787,2023-03-25
ACC00000022,CUS00000015,BR000036,Singapore,Singapore,Business,Active,SI99NGB5397246510106097,116360,169779.69,1.84,78084,2024-11-20
ACC00000023,CUS00000015,BR000036,Singapore,Singapore,Current,Active,SI99NGB4268723231602277,19735,9883.45,0.38,7943,2022-03-04
ACC00000024,CUS00000016,BR000023,United States,United States,Savings,Active,UN99NGB6381031551868294,9513,3864.72,2.57,0,2024-08-23
ACC00000025,CUS00000017,BR000049,Singapore,Singapore,Savings,Dormant,SI99NGB2098708081902781,8281,8927.68,2.39,0,2026-02-16
ACC00000026,CUS00000018,BR000039,France,France,Savings,Active,FR99NGB9399400161407106,15897,30381.16,2.49,0,2021-12-09
ACC00000027,CUS00000018,BR000039,France,France,Business,Active,FR99NGB7021409279363941,123707,145080.97,1.38,48204,2020-07-03
ACC00000028,CUS00000019,BR000011,Canada,Canada,Savings,Active,CA99NGB7225856526255920,15261,29864.62,2.59,0,2022-09-15
ACC00000029,CUS00000020,BR000025,Switzerland,Switzerland,Business,Active,SW99NGB9931630104346206,101893,52500.39,1.15,87857,2022-11-11
ACC00000030,CUS00000021,BR000005,Germany,Germany,Savings,Active,GE99NGB9456054019373797,7810,5890.52,4.16,0,2020-09-09
ACC00000031,CUS00000022,BR000035,Canada,Canada,Savings,Active,CA99NGB5371603018291031,5852,4631.55,3.8,0,2019-02-23
ACC00000032,CUS00000022,BR000035,Canada,Canada,Current,Active,CA99NGB1863746645557890,39070,76234.77,0.15,1194,2022-11-12
ACC00000033,CUS00000023,BR000008,France,France,Savings,Active,FR99NGB2394730445492927,6128,5887.16,4.77,0,2024-04-27
ACC00000034,CUS00000023,BR000008,France,France,Savings,Active,FR99NGB6809853045612233,12613,13851.18,4.03,0,2018-06-21
ACC00000035,CUS00000023,BR000008,France,France,Savings,Active,FR99NGB1311700158165678,19350,32338.07,4.72,0,2021-05-23
ACC00000036,CUS00000024,BR000045,Canada,Canada,Business,Active,CA99NGB3507017332084593,383928,820745.77,1.54,35770,2021-03-08
ACC00000037,CUS00000025,BR000049,Singapore,Singapore,Business,Active,SI99NGB5024236275705652,470398,477741.3,1.73,40708,2017-09-10
ACC00000038,CUS00000026,BR000040,United Kingdom,United Kingdom,Business,Active,UN99NGB7867490538256899,211475,384456.22,0.62,89876,2022-07-09
ACC00000039,CUS00000027,BR000042,Japan,Japan,Savings,Active,JA99NGB5582562855351951,9280,9396.0,3.45,0,2016-08-25
ACC00000040,CUS00000028,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB1126178369940015,16130,10200.59,2.55,0,2022-01-27
ACC00000041,CUS00000029,BR000048,Germany,Germany,Savings,Active,GE99NGB3733694342802098,14307,28229.97,2.21,0,2017-10-04
ACC00000042,CUS00000030,BR000025,Switzerland,Switzerland,Savings,Active,SW99NGB7693741612914714,15454,14113.08,4.16,0,2026-03-21
ACC00000043,CUS00000031,BR000024,Australia,Australia,Savings,Active,AU99NGB1372353749047744,8679,15031.19,4.86,0,2024-07-13
ACC00000044,CUS00000032,BR000025,Switzerland,Switzerland,Current,Active,SW99NGB9423280689099655,38445,24815.54,0.42,8005,2023-02-18
ACC00000045,CUS00000033,BR000039,France,France,Current,Active,FR99NGB7016732218558777,22819,42757.58,0.34,6545,2023-02-25
ACC00000046,CUS00000034,BR000014,Switzerland,Switzerland,Current,Active,SW99NGB4314258218495440,7770,14240.6,0.37,1517,2022-08-03
ACC00000047,CUS00000034,BR000014,Switzerland,Switzerland,Savings,Active,SW99NGB6942170674395881,13950,10048.06,2.91,0,2019-09-18
ACC00000048,CUS00000035,BR000016,France,France,Savings,Active,FR99NGB9553819351497737,17126,7657.15,3.94,0,2022-10-29
ACC00000049,CUS00000036,BR000004,United States,United States,Savings,Active,UN99NGB3401650455967560,13682,12915.68,2.11,0,2024-01-19
ACC00000050,CUS00000037,BR000026,Australia,Australia,Savings,Active,AU99NGB3883814688815824,11146,19700.69,4.94,0,2016-12-18
ACC00000051,CUS00000038,BR000039,France,France,Current,Active,FR99NGB3687490833835515,15740,10269.06,0.2,1600,2023-07-30
ACC00000052,CUS00000039,BR000027,France,France,Current,Active,FR99NGB1387402269509021,14615,18432.73,0.17,4866,2023-01-02
ACC00000053,CUS00000039,BR000027,France,France,Savings,Active,FR99NGB9199709542458923,11482,18560.42,4.81,0,2018-04-30
ACC00000054,CUS00000040,BR000023,United States,United States,Business,Active,UN99NGB2472972719368344,406482,429765.92,1.59,20227,2024-09-08
ACC00000055,CUS00000041,BR000003,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB1556088586581526,13667,12247.59,3.33,0,2024-02-15
ACC00000056,CUS00000041,BR000003,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB8828183214481765,12995,11992.42,2.49,0,2024-09-11
ACC00000057,CUS00000041,BR000003,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB7616156942045419,15792,34249.63,4.21,0,2021-02-04
ACC00000058,CUS00000042,BR000042,Japan,Japan,Savings,Active,JA99NGB5717172416644224,1701,1014.55,2.88,0,2017-06-01
ACC00000059,CUS00000043,BR000010,Singapore,Singapore,Savings,Active,SI99NGB3768726969310624,10242,21471.33,2.31,0,2019-11-13
ACC00000060,CUS00000043,BR000010,Singapore,Singapore,Current,Active,SI99NGB9727479450320270,43789,19072.09,0.14,1639,2023-04-11
ACC00000061,CUS00000044,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB3643057614517603,6055,10036.39,4.06,0,2023-07-01
ACC00000062,CUS00000044,BR000037,United Kingdom,United Kingdom,Business,Active,UN99NGB9625452738630037,110695,243368.1,0.92,88767,2024-02-09
ACC00000063,CUS00000045,BR000016,France,France,Savings,Active,FR99NGB8632778243258304,9180,5086.43,2.22,0,2025-11-28
ACC00000064,CUS00000046,BR000014,Switzerland,Switzerland,Business,Active,SW99NGB7556698639298578,59342,26858.12,1.02,11223,2024-07-28
ACC00000065,CUS00000047,BR000048,Germany,Germany,Savings,Active,GE99NGB9706952886691078,10870,5109.05,3.25,0,2018-07-26
ACC00000066,CUS00000048,BR000019,France,France,Savings,Active,FR99NGB3991569584840310,9258,5636.53,3.57,0,2019-01-09
ACC00000067,CUS00000048,BR000019,France,France,Savings,Active,FR99NGB5270573848112800,19073,19685.72,2.8,0,2018-03-23
ACC00000068,CUS00000049,BR000042,Japan,Japan,Savings,Active,JA99NGB4016999625097258,11731,21129.72,3.62,0,2025-11-26
ACC00000069,CUS00000050,BR000050,Canada,Canada,Savings,Active,CA99NGB2871747847342934,14735,10513.4,4.17,0,2019-10-27
ACC00000070,CUS00000051,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB9678301061029505,9126,5487.94,3.18,0,2025-12-11
ACC00000071,CUS00000051,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB4132368257681662,8847,18727.32,4.62,0,2017-09-17
ACC00000072,CUS00000052,BR000045,Canada,Canada,Current,Active,CA99NGB4951558920500285,3361,4349.81,0.25,1718,2024-06-25
ACC00000073,CUS00000053,BR000047,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB5943090831771164,36765,57585.45,0.15,3396,2018-01-19
ACC00000074,CUS00000054,BR000014,Switzerland,Switzerland,Current,Active,SW99NGB3073781774079329,3259,5642.77,0.21,2602,2024-06-22
ACC00000075,CUS00000055,BR000017,Australia,Australia,Savings,Active,AU99NGB6522321438064275,3748,6033.81,4.77,0,2017-12-31
ACC00000076,CUS00000055,BR000017,Australia,Australia,Savings,Active,AU99NGB7351697310259868,2937,5579.33,3.77,0,2024-01-09
ACC00000077,CUS00000056,BR000006,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB7474821402283111,2686,4997.05,0.31,8775,2020-07-27
ACC00000078,CUS00000056,BR000006,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB8137792599913479,30600,64097.43,0.06,2723,2023-08-26
ACC00000079,CUS00000057,BR000039,France,France,Savings,Active,FR99NGB6324671574680147,15162,29470.63,2.92,0,2024-01-15
ACC00000080,CUS00000058,BR000001,Canada,Canada,Savings,Active,CA99NGB3979370313146448,5415,9968.69,2.79,0,2022-03-17
ACC00000081,CUS00000058,BR000001,Canada,Canada,Current,Active,CA99NGB9438350303524091,10741,12129.97,0.13,3346,2025-04-22
ACC00000082,CUS00000059,BR000041,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB1747697450793624,13401,25619.02,4.68,0,2022-06-03
ACC00000083,CUS00000059,BR000041,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB7294580097665993,2796,5910.6,2.51,0,2019-05-26
ACC00000084,CUS00000060,BR000013,Australia,Australia,Savings,Active,AU99NGB6562221009068863,9383,6945.73,4.21,0,2020-08-22
ACC00000085,CUS00000060,BR000013,Australia,Australia,Savings,Active,AU99NGB5599798317943052,13129,16016.46,3.52,0,2022-08-22
ACC00000086,CUS00000061,BR000019,France,France,Savings,Active,FR99NGB7447875845227075,2263,2955.41,4.38,0,2017-12-04
ACC00000087,CUS00000062,BR000023,United States,United States,Current,Active,UN99NGB1493256285394715,13517,23469.78,0.05,6323,2017-03-31
ACC00000088,CUS00000063,BR000018,United Kingdom,United Kingdom,Current,Active,UN99NGB1741697971716525,29329,32074.79,0.41,6846,2021-04-08
ACC00000089,CUS00000064,BR000025,Switzerland,Switzerland,Business,Active,SW99NGB6804344995777708,99182,144938.11,1.95,25353,2020-12-08
ACC00000090,CUS00000065,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB1993987613713320,18923,38777.23,3.26,0,2024-06-11
ACC00000091,CUS00000065,BR000037,United Kingdom,United Kingdom,Business,Active,UN99NGB1242887378986545,466093,995425.57,1.33,10215,2016-09-30
ACC00000092,CUS00000066,BR000013,Australia,Australia,Savings,Active,AU99NGB7976306877599587,16147,17825.39,3.45,0,2026-05-04
ACC00000093,CUS00000066,BR000013,Australia,Australia,Savings,Active,AU99NGB6838207437797980,7988,15963.02,2.62,0,2025-11-09
ACC00000094,CUS00000067,BR000030,Germany,Germany,Savings,Active,GE99NGB8134103924295582,13313,22152.52,3.93,0,2026-03-14
ACC00000095,CUS00000067,BR000030,Germany,Germany,Current,Active,GE99NGB1438361204763712,24214,10548.6,0.32,1104,2019-02-10
ACC00000096,CUS00000067,BR000030,Germany,Germany,Current,Active,GE99NGB7392421841403969,4495,6235.09,0.02,3560,2021-06-12
ACC00000097,CUS00000068,BR000038,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB9359820685690319,1668,1722.5,4.93,0,2020-12-25
ACC00000098,CUS00000069,BR000042,Japan,Japan,Current,Active,JA99NGB2902160533076936,39341,56377.4,0.14,1606,2021-12-29
ACC00000099,CUS00000070,BR000028,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB6263516577095398,12683,5366.59,2.54,0,2018-05-16
ACC00000100,CUS00000071,BR000031,Canada,Canada,Savings,Active,CA99NGB7683119906981922,13572,7681.51,2.35,0,2019-02-22
ACC00000101,CUS00000072,BR000010,Singapore,Singapore,Savings,Active,SI99NGB3134796376229479,18083,14084.67,3.48,0,2017-11-11
ACC00000102,CUS00000072,BR000010,Singapore,Singapore,Savings,Active,SI99NGB1842855959411667,3569,4317.97,2.84,0,2018-07-30
ACC00000103,CUS00000073,BR000009,Singapore,Singapore,Current,Active,SI99NGB5446913900505072,29537,35148.89,0.19,1165,2020-10-05
ACC00000104,CUS00000073,BR000009,Singapore,Singapore,Savings,Active,SI99NGB6806260435484340,7023,12136.16,2.32,0,2017-11-17
ACC00000105,CUS00000073,BR000009,Singapore,Singapore,Business,Active,SI99NGB3231890657626387,470716,300359.42,0.77,52236,2020-06-16
ACC00000106,CUS00000074,BR000026,Australia,Australia,Savings,Active,AU99NGB6000936615836701,6982,14692.16,2.18,0,2025-07-05
ACC00000107,CUS00000074,BR000026,Australia,Australia,Savings,Active,AU99NGB7953750494223232,12298,24454.34,3.42,0,2019-11-21
ACC00000108,CUS00000075,BR000049,Singapore,Singapore,Business,Active,SI99NGB9413474136028752,485885,470268.98,0.89,74723,2024-07-11
ACC00000109,CUS00000075,BR000049,Singapore,Singapore,Savings,Active,SI99NGB7868464647386616,534,711.62,2.51,0,2016-12-30
ACC00000110,CUS00000076,BR000015,Canada,Canada,Savings,Active,CA99NGB6710675485889538,16640,22823.29,4.57,0,2018-02-03
ACC00000111,CUS00000076,BR000015,Canada,Canada,Savings,Active,CA99NGB8320527358807678,680,887.4,4.54,0,2019-07-22
ACC00000112,CUS00000077,BR000023,United States,United States,Savings,Active,UN99NGB8265562248255626,1305,1876.91,3.04,0,2026-01-14
ACC00000113,CUS00000077,BR000023,United States,United States,Current,Active,UN99NGB4569035703415602,8456,16877.54,0.2,9716,2017-09-07
ACC00000114,CUS00000078,BR000030,Germany,Germany,Savings,Active,GE99NGB7359908851152011,2072,1875.69,4.35,0,2016-09-18
ACC00000115,CUS00000079,BR000033,Australia,Australia,Savings,Active,AU99NGB9873806885889916,2954,3490.17,3.94,0,2018-02-26
ACC00000116,CUS00000079,BR000033,Australia,Australia,Savings,Active,AU99NGB6838298426659694,15046,9599.66,2.31,0,2020-08-13
