customer_id,first_name,last_name,gender,date_of_birth,age,email,phone,country,city,branch_id,occupation,annual_income,customer_segment,risk_profile,kyc_status,join_date
CUS00000001,Marie,Kim,Female,1980-10-01,45,omartinez@example.org,309-583-9301x03105,United Kingdom,Manchester,BR000021,Sales Executive,37757,Retail,Low,Verified,2021-04-07
CUS00000002,Michael,Lewis,Male,1954-07-14,71,esanchez@example.com,311.265.6670,Singapore,Singapore,BR000010,Research Scientist,59305,Retail,Low,Verified,2023-05-18
CUS00000003,Nicholas,Mcbride,Male,1952-12-18,73,jamesherrera@example.org,(424)873-1781x08013,Australia,Brisbane,BR000029,Financial Analyst,162674,Private Banking,Low,Verified,2024-10-15
CUS00000004,Karen,Hancock,Female,2006-12-10,19,martinaaron@example.com,274-768-7234x309,United Kingdom,Manchester,BR000037,Marketing Manager,63080,Retail,Low,Verified,2017-07-02
CUS00000005,Amber,Woods,Female,2008-02-04,18,brianromero@example.org,291-336-1939,United Arab Emirates,Abu Dhabi,BR000028,Nurse,207400,Private Banking,Low,Verified,2023-08-29
CUS00000006,Matthew,Cunningham,Male,1967-01-22,59,james53@example.com,(524)675-1079x9118,United Arab Emirates,Dubai,BR000041,Accountant,130819,Premium,Low,Verified,2018-10-13
CUS00000007,Taylor,Ibarra,Female,2005-05-13,21,mikemoore@example.net,001-449-680-8412x411,Singapore,Singapore,BR000049,Research Scientist,163224,Private Banking,Low,Verified,2021-04-27
CUS00000008,Larry,Robbins,Male,1959-05-21,67,william40@example.org,+1-264-300-5242x7868,United Arab Emirates,Dubai,BR000038,Business Consultant,111778,Premium,Medium,Verified,2017-10-22
CUS00000009,Tony,Vazquez,Male,1955-09-03,70,davenportbrandi@example.org,(420)545-0533x15869,Australia,Sydney,BR000013,Doctor,82591,Premium,Low,Verified,2019-04-17
CUS00000010,Vanessa,Cochran,Female,2005-07-05,21,vjohnson@example.com,(534)221-6073x37543,Canada,Toronto,BR000050,Lawyer,64050,Retail,Low,Verified,2019-10-25
CUS00000011,James,Ramirez,Male,1950-04-03,76,michael86@example.net,+1-350-814-2940,United States,Dallas,BR000012,Nurse,161164,Private Banking,Medium,Verified,2022-05-30
CUS00000012,Nicholas,Edwards,Male,1986-10-13,39,cruzbarbara@example.com,7607883561,Australia,Brisbane,BR000029,Marketing Manager,135477,Premium,Medium,Pending,2018-08-25
CUS00000013,Nathan,Evans,Male,1966-07-30,59,snguyen@example.com,+1-823-266-2994,United States,New York,BR000004,Business Consultant,88597,Premium,Low,Verified,2021-09-12
CUS00000014,Donna,Jordan,Female,1984-12-30,41,steven73@example.net,221.248.9513x4332,Australia,Brisbane,BR000026,Software Engineer,168284,Private Banking,Low,Verified,2020-09-10
